manhwa_name,manhwa_synonym,manhwa_japanese,manhwa_english,manhwa_type,manhwa_volume,manhwa_chapters,manhwa_status,manhwa_published,manhwa_genre,manhwa_theme,manhwa_demographic,manhwa_serialization,manhwa_author,manhwa_score,manhwa_ranked,manhwa_popularity,manhwa_members,manhwa_favorites
DVD,,DVD,DVD,Manhwa,8,40,Finished,"Dec  25, 2003 to Dec  14, 2005","ComedyComedy,RomanceRomance",,ShoujoShoujo,Wink,"Chon, Kye Young(Story & Art)",7.361(scored by290290 users)1indicates aweighted score.,#443022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#18113,952,22
Star Project Chiro,Chiro Star Project,치로,Chiro: The Star Project,Manhwa,12,Unknown,Finished,2004 to  2009,"ComedyComedy,RomanceRomance","CrossdressingCrossdressing,ShowbizShowbiz",ShoujoShoujo,Party,"Baek, Hye-Kyung(Story & Art)",7.351(scored by524524 users)1indicates aweighted score.,#447322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11747,"1,751",13
Yongbi Bulpae Oejeon,Yongbi the Invincible: A Side Story,용비불패 외전,,Manhwa,Unknown,Unknown,Publishing,2006 to ?,"ActionAction,AdventureAdventure,ComedyComedy","HistoricalHistorical,Martial ArtsMartial Arts",,None,"Mun, Jung-Hoo(Story & Art)",7.351(scored by315315 users)1indicates aweighted score.,#447822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#13013,"1,526",4
Boy of the Female Wolf,The female wolf Boy,암컷늑대의 BOY,,Manhwa,17,Unknown,Finished,"Sep  6, 2007 to Nov  13, 2007","ComedyComedy,RomanceRomance","CrossdressingCrossdressing,SchoolSchool",,None,"Han, Yu-Rang(Story & Art)","7.351(scored by28562,856 users)1indicates aweighted score.",#448422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3426,"7,224",59
Welcome to Room #305!,Welcome to Room 305,어서오세요. 305호에!,,Manhwa,Unknown,171,Finished,"Mar  3, 2008 to Sep  22, 2011","ComedyComedy,RomanceRomance,Slice of LifeSlice of Life",SchoolSchool,,Naver Webtoon,Wanan(Story & Art),7.351(scored by513513 users)1indicates aweighted score.,#450122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12052,"1,688",31
The Villainess Is a Marionette,Angnyeo-neun Marionette,악녀는 마리오네트,The Villainess Is a Marionette,Manhwa,Unknown,112,Finished,"Feb  10, 2021 to Apr  7, 2025","DramaDrama,FantasyFantasy","IsekaiIsekai,VillainessVillainess",,KakaoPage,"Hanirim(Story),Manggle(Art)","7.351(scored by36943,694 users)1indicates aweighted score.",#451922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1922,"12,553",100
I Was Tricked Into This Fake Marriage!,"This Is an Obvious Fraudulent Marriage, Igeon Myeongbaekhan Sagi Gyeolhon-ida",이건 명백한 사기결혼이다,I Was Tricked Into This Fake Marriage!,Manhwa,Unknown,108,Finished,"Nov  30, 2019 to Apr  10, 2022","FantasyFantasy,RomanceRomance",,,KakaoPage,"Park, Haedam(Story),Baejeup(Art)","7.351(scored by21192,119 users)1indicates aweighted score.",#452022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4078,"6,045",47
Lethal Romance,"Deadly vs Romance, Pilsal vs Romance",필살VS로맨스,Lethal Romance,Manhwa,Unknown,54,Finished,"Apr  23, 2020 to Mar  29, 2021","ActionAction,ComedyComedy,RomanceRomance","Martial ArtsMartial Arts,SchoolSchool",,Naver Webtoon,Grrr(Story & Art),7.351(scored by525525 users)1indicates aweighted score.,#452222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12214,"1,667",8
Existence,Jonjae,존재,Existence,Manhwa,4,16,Finished,"Aug  21, 2022 to Dec  9, 2023","ActionAction,DramaDrama,SupernaturalSupernatural",ReincarnationReincarnation,,KakaoPage,"Kwang Jin(Story),Kim, Kyeongjun(Art)","7.351(scored by54705,470 users)1indicates aweighted score.",#452322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1498,"15,462",122
Talented Baby Squirrel,Baby Squirrel Is Good at Everything,아기 다람쥐가 다 잘해요,Talented Baby Squirrel,Manhwa,Unknown,Unknown,Publishing,"Sep  8, 2022 to ?","FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"Guncheong Jundan(Story),Han, Soyoung(Art)",7.351(scored by907907 users)1indicates aweighted score.,#452422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6217,"3,822",27
Memorial,,메모리얼,Memorial,Manhwa,Unknown,70,Finished,"Mar  1, 2022 to Aug  8, 2023","MysteryMystery,SuspenseSuspense",PsychologicalPsychological,,Naver Webtoon,sangC(Story & Art),7.351(scored by127127 users)1indicates aweighted score.,#454822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#34152,291,5
The Gwichon Village Mystery,Gwichonri,귀촌리,The Gwichon Village Mystery,Manhwa,Unknown,Unknown,Publishing,"Mar  10, 2024 to ?",SuspenseSuspense,PsychologicalPsychological,,Naver Webtoon,"Hwangyang(Story),Lee, Daehan(Art)",7.351(scored by274274 users)1indicates aweighted score.,#454922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#14241,"1,348",10
Black Corporation: Joseon,Black Gieop Joseon,블랙기업조선,,Manhwa,Unknown,Unknown,Publishing,"Dec  28, 2023 to ?",DramaDrama,"HistoricalHistorical,ReincarnationReincarnation,Time TravelTime Travel",,KakaoPage,"Hong, Sangki(Art),Gukppong(Story)",7.351(scored by202202 users)1indicates aweighted score.,#455022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#16536,"1,089",2
Jakdu: Shaman's Blade,,작두,Jakdu: Shaman's Blade,Manhwa,Unknown,Unknown,Publishing,"Jul  17, 2024 to ?","ActionAction,SupernaturalSupernatural",,,Naver Webtoon,"232(Story),Pogo(Art)",7.351(scored by300300 users)1indicates aweighted score.,#455122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12492,"1,616",11
For the Sake of Sita,"For Sita, Sita Wihayeo",시타를 위하여,For the Sake of Sita,Manhwa,2,14,Finished,"Jun  13, 2014 to Sep  12, 2014","DramaDrama,RomanceRomance",Time TravelTime Travel,,Naver Webtoon,Haga(Story & Art),"7.341(scored by20142,014 users)1indicates aweighted score.",#456322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6299,"3,777",29
Neck and Neck,,막상막하,Neck and Neck,Manhwa,8,40,Finished,2002 to  2005,"ComedyComedy,RomanceRomance",,,None,"Lee, Sun Hee(Story & Art)",7.341(scored by488488 users)1indicates aweighted score.,#456722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#15327,"1,216",11
Zero,,제로 - 시작의관,Zero - The Beginning of The Coffin,Manhwa,10,70,Finished,2000 to  2005,"ActionAction,Sci-FiSci-Fi,SupernaturalSupernatural",,SeinenSeinen,Daiwon,"Park, Sung-Woo(Story & Art),Im, Dal Young(Story)","7.341(scored by24432,443 users)1indicates aweighted score.",#457922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4390,"5,635",38
I'm Looking for the Princess,"Princess Finds, Looking for the Princess, Gongjunim-eul Chajseubnida",공주님을 찾습니다,,Manhwa,10,Unknown,Finished,"Jul  7, 2008 to Aug  9, 2008","ComedyComedy,DramaDrama,RomanceRomance",SchoolSchool,,None,"Han, Yu-Rang(Story & Art)",7.341(scored by490490 users)1indicates aweighted score.,#460122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#15800,"1,162",5
Dark Air,,다크에어,,Manhwa,12,91,Finished,2010 to Jan  2016,"ActionAction,AdventureAdventure,FantasyFantasy",,ShounenShounen,Comic Champ,"Park, Min-Seo(Story & Art)","7.341(scored by17841,784 users)1indicates aweighted score.",#460822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4195,"5,878",34
No Office Romance!,Sanae Yeonae Sajeol!,사내연애 사절!,No Office Romance!,Manhwa,Unknown,Unknown,Publishing,"Aug  23, 2023 to ?",RomanceRomance,"Adult CastAdult Cast,WorkplaceWorkplace",,Naver Webtoon,"Namsu(Art),Dooboo(Story)",7.341(scored by150150 users)1indicates aweighted score.,#455322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#20979,753,3
The Black Serpent,Heuksa,흑사,The Black Serpent,Manhwa,Unknown,Unknown,Publishing,"Jul  16, 2024 to ?","ActionAction,FantasyFantasy","HistoricalHistorical,Martial ArtsMartial Arts",,Naver Webtoon,Angyungal(Story & Art),7.341(scored by122122 users)1indicates aweighted score.,#455722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#27050,479,5
Long After the Ending,Wonjak-eun Wangyeolnan Ji Hancham Dwaetseumnidaman,원작은 완결난 지 한참 됐습니다만,Long After the Ending,Manhwa,Unknown,60,Finished,"Nov  25, 2021 to Dec  11, 2022",RomanceRomance,VillainessVillainess,,Naver Webtoon,"Wonderdream(Story),Dorae(Art)",7.341(scored by866866 users)1indicates aweighted score.,#462022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9914,"2,166",7
Dear X,Chinae Haneun X,친애하는 X,Dear X,Manhwa,Unknown,63,Finished,"Jul  5, 2019 to Sep  11, 2020",DramaDrama,"PsychologicalPsychological,ShowbizShowbiz",,Naver Webtoon,Vanziun(Story & Art),7.341(scored by406406 users)1indicates aweighted score.,#462122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17150,"1,033",7
The Little Lady Behind the Scenes,"An Unseemly Lady, Biseon Silse Lady",비선실세 레이디,The Little Lady Behind the Scenes,Manhwa,Unknown,Unknown,Publishing,"Oct  31, 2021 to ?","FantasyFantasy,RomanceRomance",,,KakaoPage,"Yehwon(Story),Chunghae(Art)","7.341(scored by10221,022 users)1indicates aweighted score.",#462222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5511,"4,367",21
Mythic Item Obtained,"I Obtained a Mythic Item, Sinhwa-geup Gwisok Item-eul Son-e Neoeotda",신화급 귀속 아이템을 손에 넣었다,Mythic Item Obtained,Manhwa,Unknown,Unknown,Publishing,"Jun  12, 2022 to ?","ActionAction,FantasyFantasy",,,Naver Webtoon,"Jeong, Seonyul(Story),Hess(Art)","7.341(scored by62386,238 users)1indicates aweighted score.",#462522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1048,"20,756",80
The 31st Piece Turns the Tables,"31-beonjjae Mareun Geimpaneul Dwieopneunda, The 31st Piece Overturns the Board",31번째 말은 게임판을 뒤엎는다,The 31st Piece Turns the Tables,Manhwa,Unknown,Unknown,Publishing,"Jul  14, 2023 to ?","ActionAction,AdventureAdventure,FantasyFantasy",,,KakaoPage,"Wang, Mochi(Story),Kalma(Art)",7.341(scored by820820 users)1indicates aweighted score.,#463122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5896,"4,064",12
The Divine Demon's Grand Ascension,,신마대제,,Manhwa,Unknown,Unknown,Publishing,"Sep  20, 2025 to ?","ActionAction,FantasyFantasy",Martial ArtsMartial Arts,,KakaoPage,"Next Level Studio(Art),Eungeom(Story)",7.331(scored by257257 users)1indicates aweighted score.,#466922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#15634,"1,180",1
Legend of Nereid,Legend of the Nereid,네레이드의 전설,,Manhwa,15,90,Finished,2003 to ?,"ComedyComedy,FantasyFantasy,RomanceRomance",HistoricalHistorical,ShoujoShoujo,None,"Hwang, Mi Ri(Story & Art)","7.331(scored by14851,485 users)1indicates aweighted score.",#470122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6790,"3,455",25
Sarasah,Sarasa,사라사,Sarasah,Manhwa,Unknown,Unknown,Publishing,2007 to ?,"ComedyComedy,DramaDrama,RomanceRomance","CrossdressingCrossdressing,HistoricalHistorical",,None,"Ryu, Riang(Story & Art)",7.331(scored by592592 users)1indicates aweighted score.,#470822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#10151,"2,107",23
Manager Kim,"Directory Kim, Kim Bujang",김부장,Manager Kim,Manhwa,Unknown,Unknown,Publishing,"Oct  29, 2021 to ?",ActionAction,DelinquentsDelinquents,,Naver Webtoon,"Toy(Story),Jeong, Jongtaek(Art)","7.331(scored by27162,716 users)1indicates aweighted score.",#471822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2801,"8,790",52
Ghost Theater,Yuryeong Geukdan,유령극단,Ghost Theater,Manhwa,Unknown,51,Finished,"Aug  23, 2019 to Aug  7, 2020","DramaDrama,SupernaturalSupernatural",Performing ArtsPerforming Arts,,Naver Webtoon,LICO(Story & Art),7.331(scored by527527 users)1indicates aweighted score.,#471922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#16451,"1,097",5
Rumor Has It,Gatabutata,가타부타타,Rumor Has It,Manhwa,Unknown,69,Finished,"Jun  12, 2019 to Sep  9, 2020",RomanceRomance,,,Naver Webtoon,Sungeo(Story & Art),7.331(scored by823823 users)1indicates aweighted score.,#472122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11505,"1,801",13
Dreamcide,,드림사이드,Dreamcide,Manhwa,Unknown,202,Finished,"Jul  5, 2016 to Jul  28, 2020","ActionAction,SupernaturalSupernatural",SchoolSchool,,KakaoPage,"Shinweol(Art),Hong, Jeonghoon(Story)",7.331(scored by325325 users)1indicates aweighted score.,#472222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#18195,945,23
The World's Strongest Are Obsessed With Me,"The Strongest Characters in the World Are Obsessed with Me, Segyegwan Choegangja-deur-i Naege Jipchak Handa, The Most Powerful Characters in the World Are Obsessed with Me",세계관 최강자들이 내게 집착한다,The World's Strongest Are Obsessed With Me,Manhwa,Unknown,Unknown,Publishing,"Sep  30, 2021 to ?",FantasyFantasy,"ReincarnationReincarnation,Reverse HaremReverse Harem",,KakaoPage,"Kim, Kokkiri(Story),Zion(Art)","7.331(scored by10941,094 users)1indicates aweighted score.",#472322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4851,"5,044",17
Emperor Hunt,"Empress Hunt, Hunting the Emperor, Hwangje Sanyang",황제사냥,Emperor Hunt,Manhwa,Unknown,65,Finished,"Sep  14, 2022 to Feb  28, 2024","ActionAction,FantasyFantasy",,,Naver Webtoon,Kan(Story & Art),7.331(scored by389389 users)1indicates aweighted score.,#472922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#13693,"1,421",9
Lady Detective,,Lady Detective 레이디 디텍티브,Lizzie Newton: Victorian Mysteries,Manhwa,6,Unknown,Finished,"Apr  26, 2011 to Feb  19, 2013","MysteryMystery,RomanceRomance",HistoricalHistorical,ShoujoShoujo,Issue,"Lee, Gi Ha(Art),Jeon, Hye Jin(Story)",7.331(scored by274274 users)1indicates aweighted score.,#473922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#13240,"1,488",7
S.I.D.,Supernatural Investigation Department,특영반,S.I.D.,Manhwa,Unknown,376,Finished,"May  12, 2010 to Aug  12, 2020","ActionAction,ComedyComedy,MysteryMystery,SupernaturalSupernatural",,,Naver Webtoon,"Sa, Da-Ham(Story & Art)",7.331(scored by930930 users)1indicates aweighted score.,#474622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6232,"3,813",26
Pellua Iyagi,A Tale of Felluah,펠루아 이야기,,Manhwa,Unknown,Unknown,Publishing,2012 to ?,FantasyFantasy,HistoricalHistorical,ShoujoShoujo,Party,"Kim, Yeon-Joo(Story & Art)",7.331(scored by244244 users)1indicates aweighted score.,#474822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17258,"1,023",14
Fallen to Paradise,"Crash on Paradise, Churak-han Goseun Nagwon",추락한 곳은 낙원,Fallen to Paradise,Manhwa,Unknown,71,Finished,"Oct  28, 2023 to Apr  26, 2025","FantasyFantasy,RomanceRomance",,,Naver Webtoon,"Wonderdream(Story),Yoonju(Art)",7.331(scored by339339 users)1indicates aweighted score.,#467822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17982,962,9
Ultimate Shut-In,"Jipguseok Jeoldaeja, The Ultimate Shut-In",집구석 절대자,Ultimate Shut-In,Manhwa,Unknown,Unknown,Publishing,"Nov  29, 2024 to ?","ActionAction,FantasyFantasy",Urban FantasyUrban Fantasy,,Naver Webtoon,"Araman(Story),Bihyen(Art)","7.331(scored by10391,039 users)1indicates aweighted score.",#468122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4983,"4,878",9
Dr. Kim of London,"The Black-Haired British Doctor, Geomeun Meori Yeongguk Uisa",검은 머리 영국 의사,Dr. Kim of London,Manhwa,Unknown,Unknown,Publishing,"Jan  15, 2025 to ?",DramaDrama,"HistoricalHistorical,MedicalMedical,ReincarnationReincarnation,Time TravelTime Travel",,Naver Webtoon,"Hansan, Leega(Story),Ochen(Art)",7.331(scored by106106 users)1indicates aweighted score.,#468322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#28979,418,4
The Sword-Bearing Flower,"Gomeul Deun Kkot, The Flower That Wields a Sword, The Flower with a Sword",검을 든 꽃,The Sword-Bearing Flower,Manhwa,Unknown,Unknown,Publishing,"Jun  5, 2025 to ?","DramaDrama,FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"Harara(Art),Eun, Soro(Story)",7.321(scored by174174 users)1indicates aweighted score.,#477922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#21374,730,10
Subtle Disaster,,재앙은 미묘하게,Subtle Disaster,Manhwa,4,45,Finished,"Aug  6, 2014 to Jun  10, 2015",DramaDrama,PsychologicalPsychological,,Naver Webtoon,"Ahn, Sung Ho(Story & Art)",7.321(scored by524524 users)1indicates aweighted score.,#480022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#14805,"1,282",17
Mosquito War,Mogi Jeonjaeng,모기전쟁,,Manhwa,3,49,Finished,"Dec  31, 2017 to Oct  7, 2018","ActionAction,Sci-FiSci-Fi",MilitaryMilitary,,Lezhin Comics Webtoon,"Jeong, Ji-Hoon(Story & Art)","7.321(scored by17811,781 users)1indicates aweighted score.",#479522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5365,"4,492",34
Do You Want to Try?,,한 번 해봐?,,Manhwa,5,18,Finished,Not available,"ComedyComedy,DramaDrama,RomanceRomance",,ShoujoShoujo,None,"Cha, Kyung Hee(Story & Art)","7.321(scored by30153,015 users)1indicates aweighted score.",#486222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4372,"5,658",57
The Villainess Lives Again,"The Villainess Lives Twice, Angnyeo-neun Dubeon Sanda",악녀는 두 번 산다,The Villainess Lives Again,Manhwa,Unknown,230,Finished,"Jun  3, 2020 to Jan  6, 2025","DramaDrama,FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"Han, Mint(Story),Peachberry(Art)","7.321(scored by27012,701 users)1indicates aweighted score.",#488822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2370,"10,131",62
Flower and the Beast,"Beast with Flowers, Kkoch-eul Mun Jimseung",꽃을 문 짐승,Flower and the Beast,Manhwa,Unknown,120,Finished,"Sep  4, 2019 to Dec  22, 2021","FantasyFantasy,RomanceRomance",ReincarnationReincarnation,,KakaoPage,"Solddam(Story),Jooreong(Art)",7.321(scored by702702 users)1indicates aweighted score.,#488922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9645,"2,240",9
